Trialno TrialType AttemptNo NoOfTaps Time Error
1 SmallOld 1 35 15344 0
1 SmallOld 2 9 4665 0
1 SmallOld 3 10 3888 0
1 SmallOld 4 8 5659 0
1 SmallOld 5 15 7800 0
1 SmallOld 6 7 6131 0
1 SmallOld 7 28 17528 0
1 SmallOld 8 7 6349 0
1 SmallOld 9 14 7047 0
1 SmallOld 10 13 5856 0


1 SmallNew 1 2 2863 0
1 SmallNew 2 1 2429 0
1 SmallNew 3 1 2641 0
1 SmallNew 4 2 4467 0
1 SmallNew 5 2 3464 0
1 SmallNew 6 6 6126 0
1 SmallNew 7 7 7719 0
1 SmallNew 8 9 10900 0
1 SmallNew 9 4 4687 0
1 SmallNew 10 2 2884 0


2 MediumOld 1 11 5571 0
2 MediumOld 2 17 9689 0
2 MediumOld 3 9 6320 0
2 MediumOld 4 16 9849 0
2 MediumOld 5 24 13864 0
2 MediumOld 6 19 10958 0
2 MediumOld 7 16 8253 0
2 MediumOld 8 19 10309 0
2 MediumOld 9 14 7737 0
2 MediumOld 10 17 10112 0


2 MediumNew 1 2 3148 0
2 MediumNew 2 4 4433 0
2 MediumNew 3 4 4593 0
2 MediumNew 4 1 2174 0
2 MediumNew 5 2 2437 0
2 MediumNew 6 4 3833 0
2 MediumNew 7 2 2586 0
2 MediumNew 8 1 2089 0
2 MediumNew 9 5 4685 0
2 MediumNew 10 4 4137 0


3 LargeOld 1 10 5271 0
3 LargeOld 2 12 6452 0
3 LargeOld 3 11 5444 0
3 LargeOld 4 10 6352 0
3 LargeOld 5 21 10513 0
3 LargeOld 6 15 7362 0
3 LargeOld 7 7 2937 0
3 LargeOld 8 25 16530 0
3 LargeOld 9 14 7676 0
3 LargeOld 10 11 5641 0


3 LargeNew 1 1 2171 0
3 LargeNew 2 1 2597 1
3 LargeNew 3 6 6872 0
3 LargeNew 4 1 2825 0
3 LargeNew 5 1 4010 0
3 LargeNew 6 4 7203 0
3 LargeNew 7 4 6113 0
3 LargeNew 8 4 6103 0
3 LargeNew 9 1 2285 0
3 LargeNew 10 1 2134 0
